Point;1;50.0;50.0;0.0;0.0;0.0
Point;2;500.0;500.0;0.49803921580314636;1.0;0.8313725590705872
Point;4;10.0;10.0;0.0;0.0;0.0
Point;5;10.0;100.0;0.0;0.0;0.0
Segment;3;4;5;0.0;0.0;1.0
Point;8;100.0;10.0;0.0;0.0;0.0
Segment;7;4;8;0.0;0.0;1.0
Point;10;100.0;100.0;0.0;0.0;0.0
Segment;9;8;10;0.0;0.0;1.0
Segment;11;10;4;0.0;0.0;1.0
Groupe;6;7;9;11
Point;12;193.4925711506464;203.31987091381887;0.24461540579795837;0.43418145179748535;0.5769218802452087
Point;13;142.82928172539917;479.90247976007134;0.14264249801635742;0.60096275806427;0.7505899667739868
Point;14;388.02236600171545;168.18249392062233;0.7029708623886108;0.8304119110107422;0.654060423374176
Point;15;473.3636222930287;473.37279532808077;0.28337204456329346;0.017489226534962654;0.25742241740226746
Point;16;58.97193467476064;452.6966439350351;0.8408482670783997;0.028324659913778305;0.01476616133004427
Point;17;447.7778044421746;423.12687839323047;0.43902018666267395;0.14574787020683289;0.15759111940860748
Point;18;87.68790108865748;268.05789531071986;0.9945986866950989;0.7844933271408081;0.060341399163007736
Point;19;438.6133001367475;217.44223241575722;0.872755229473114;0.9557742476463318;0.1045835092663765
Point;20;290.7233778544454;121.70753392376504;0.3138867914676666;0.25249019265174866;0.35080796480178833
Point;21;304.50183729945064;342.7579089141926;0.6953983902931213;0.26941052079200745;0.2186489999294281
Point;23;56.110451611981304;388.579736449334;0.0;0.0;0.0
Point;24;308.19544707478695;19.00521427439894;0.0;0.0;0.0
Segment;22;23;24;0.8380399346351624;0.3270490765571594;0.8166899681091309
Point;26;38.188504700114144;107.11165202629886;0.0;0.0;0.0
Point;27;232.22537131229032;55.32700900901566;0.0;0.0;0.0
Segment;25;26;27;0.5601795315742493;0.29624563455581665;0.3216238021850586
Point;29;458.94027777307394;135.16476675087736;0.0;0.0;0.0
Point;30;19.809208661948354;286.3847647877908;0.0;0.0;0.0
Segment;28;29;30;0.9859166145324707;0.5102124810218811;0.189505934715271
Point;32;473.8243377253819;184.25859228107223;0.0;0.0;0.0
Point;33;425.91346326401396;464.4358603149045;0.0;0.0;0.0
Segment;31;32;33;0.22929264605045319;0.513523519039154;0.019474871456623077
Point;35;50.42993669318968;293.9448574385196;0.0;0.0;0.0
Point;36;128.51162038023435;6.786529895046023;0.0;0.0;0.0
Segment;34;35;36;0.3533424139022827;0.48671647906303406;0.31830477714538574
Groupe;0;1;2;3;6;12;13;14;15;16;17;18;19;20;21;22;25;28;31;34
